(68069+1.8474111129762605e-13j),(78101+1.9184653865522705e-12j),(159049-4.618527782440651e-13j),(171499+1.0373923942097463e-12j)
(17.45081999669506+3.8744324183156484j),(46.77777944718794-22.492879526700616j),(21.012142868741105-10.797003910067797j),(-57.880019749077135-9.292987417850252j)
(31.413770787702575+28.483624030475042j),(75.27201970549645+15.797444654489478j),(-23.16145782218782-51.74121307296885j),(-24.633780702464303-23.978443609007588j)
(-8.604632172396785-8.76452695359417j),(-25.493347133806825+15.923032365838388j),(-4.01872998332243-6.744901199569579j),(-4.570324158822407-29.39659990783273j)
(-20.764839975800882-29.22992244250864j),(16.82818554618234-33.070036771583965j),(5.232492597711374+18.269078869837664j),(-38.33406174676635+19.864740201046303j)
(65.77569010716648-29.29223354559898j),(92.31232464965333-46.533936340924036j),(-28.71063743066457+18.839006801872827j),(-97.63611865527652+30.108150437254842j)
(79.81057240131034-10.554995974948579j),(127.26814786564744-8.461308558364813j),(-56.65933884932108+2.6251141198901884j),(-71.98190439894313-28.046849144688895j)
(-3.4403161816702266+3.6517431628435517j),(-13.171443872808132+35.72834832589529j),(-43.09390330817877-5.769868563050778j),(-38.65589466523889+13.299043547052001j)
(0.5688300426528966-14.497415977702374j),(-48.13280399652797-45.49598321969913j),(3.2821896808958595+9.206447926453766j),(4.556129634959618+52.948503172682095j)
(28.16522649514065-105.38433173390735j),(13.41684130314571-65.08660888227662j),(0.7915396083757216+39.473713036337415j),(-1.522762129410637+68.62271497374209j)
(28.22944023117889-26.3361921210455j),(28.00044357566275+15.888606734312075j),(-22.61348016530232+41.06103612431916j),(-37.553319777645285+9.92843754137722j)
(30.315365746388892-0.4891472731208486j),(28.419478749022716+15.792436639485736j),(12.373809652576224+6.357950677593128j),(-36.39185464014899+14.884195774846024j)
